index,molecule,actual,average_prediction,standard_deviation
197,CuO,4.57,4.566478319073579,0.006568306624791592
198,CuRa,4.65,4.648716467182121,0.002837197290018031
199,CuRa,4.65,4.649428320586866,0.0026303348960885755
200,CuRb,8.81,8.808223967322041,0.003112043790941627
201,CuRb,8.81,8.80938031801547,0.0030105391536649102
202,CuS,4.31,4.311035385980209,0.003824485484193974
203,CuS,4.31,4.308007996039747,0.003872307903144274
204,CuSr,3.25,3.2508189413972284,0.00222301173000398
205,CuSr,3.25,3.2499506446391018,0.001959919849541837
206,EuBa,0.08,0.07980249502597252,0.002666629990063551
207,EuBa,0.08,0.07991976446532564,0.0026142980826828395
208,EuBe,0.45,0.45018377952932026,0.001214830993183342
209,EuBe,0.45,0.44994598843003836,0.001223186674197113
210,EuCa,0.17,0.17080093205040353,0.001772550597257841
211,EuCa,0.17,0.17094484739982574,0.00169321078735305
212,EuCs,1.67,1.670309608037532,0.0039666830392898166
213,EuCs,1.67,1.671812408860893,0.0038842562332221395
214,EuK,1.23,1.231438945588319,0.0021002299700769956
215,EuK,1.23,1.2302533781850697,0.0021222699889223225
216,EuLi,0.16,0.15888000355368082,0.0021862678794538227
217,EuLi,0.16,0.16088643167076114,0.002075442161624791
218,EuMg,0.1,0.1005904142261286,0.0012616893712318203
219,EuMg,0.1,0.09925648254251973,0.0011579921000003453
220,EuNa,0.54,0.5405816478708408,0.001999591538484712
221,EuNa,0.54,0.5396264456831653,0.0020039148292301614
222,EuRb,1.41,1.408539030562715,0.001912812021771597
223,EuRb,1.41,1.4081113764464703,0.0018613625467600733
224,EuSr,0.12,0.11990897180078715,0.001606249842803378
225,EuSr,0.12,0.11985372986585743,0.0015264817717676772
226,EuYb,0.13,0.13001193933786084,0.00038029812966023047
227,EuYb,0.13,0.13001193933786084,0.00038029812966023047
228,FeC,2.36,2.3599665398669987,0.0019429914799823699
229,FeC,2.36,2.360157971886248,0.0019742025964259477
230,FeH,2.63,2.6305377424829017,0.0044195055234401755
231,FeH,2.63,2.6297886987800396,0.0043974090198235965
232,FeO,4.7,4.702636943595592,0.004711445588804622
233,FeO,4.7,4.697200422001006,0.004641824892895929
234,FO,0.0043,0.018475455614692337,0.010218688755355455
235,FO,0.0043,0.018475455614692337,0.010218688755355455
236,FrBa,1.71,1.7105422412785223,0.0027852184603657532
237,FrBa,1.71,1.7104795266734174,0.0025884336606496975
238,FrBe,1.27,1.270543915355282,0.0029700076373535907
239,FrBe,1.27,1.2710528223461548,0.0028099397268470387
240,FrCa,1.71,1.7096867593203675,0.001760513433525346
241,FrCa,1.71,1.7106020054246378,0.0019513350409827023
242,FrMg,0.7,0.7004696074957246,0.0021486694365000737
243,FrMg,0.7,0.700071580294739,0.0020075994948682233
244,FrRa,0.68,0.6791472250109768,0.0035324107959940477
245,FrRa,0.68,0.678849931930803,0.003394576435381871
246,FrSr,1.41,1.410412163585841,0.0018836177835645238
247,FrSr,1.41,1.4102092244741187,0.001860613279702524
248,GaF,2.45,2.4364498263565544,0.02026005722676396
249,GaF,2.45,2.44689080454976,0.017502016585495335
250,GeO,3.2824,3.2731053509158183,0.008361658293486103
251,GeO,3.2824,3.2900683520381686,0.008368118839493115
252,GeS,2.0,1.9990574611332872,0.00408073980932327
253,GeS,2.0,2.003707191204917,0.004149263564451947
254,GeSe,1.648,1.645204702391402,0.005184042427418991
255,GeSe,1.648,1.6496801313156086,0.004999944829747967
256,GeTe,1.06,1.0620424170374172,0.002947817367849408
257,GeTe,1.06,1.0582875306117896,0.002496700710897993
258,HBr,0.8272,0.8230779610405432,0.008385187100860253
259,HBr,0.8272,0.8300599775699109,0.008554122941254873
260,HCl,1.1086,1.107929793687179,0.00304106303474512
261,HCl,1.1086,1.107929793687179,0.00304106303474512
262,HF,1.826526,1.8273663234120008,0.009455347621813423
263,HF,1.826526,1.8155734540436839,0.010246997284021852
264,HfF,1.66,1.6768698898855166,0.02418892385071048
265,HfF,1.66,1.6587590989825438,0.01838931828249695
266,HfO,3.431,3.4286707942143737,0.008630094049534335
267,HfO,3.431,3.4387436183734477,0.01027284107464785
268,HI,0.448,0.44706984938768773,0.005903622815931432
269,HI,0.448,0.4523343939700982,0.0065433365165296345
270,IBr,0.737,0.7423648055989104,0.011843074588961758
271,IBr,0.737,0.7559407452056092,0.014070433993866684
272,ICl,1.24,1.2354955282372873,0.011642279795519033
273,ICl,1.24,1.2199684824716157,0.011923770365458802
274,IF,1.948,1.9518457675958616,0.019935541721089432
275,IF,1.948,1.9256441060718623,0.021009469074761023
276,InCl,3.79,3.7906037741881415,0.0066502930222347495
277,InCl,3.79,3.788146647075776,0.007289536019870518
278,InF,3.4,3.373820942546201,0.02612493198780165
279,InF,3.4,3.398572365221,0.020461047619083607
280,IO,2.45,2.446088704442034,0.0034973516118711905
281,IO,2.45,2.446088704442034,0.0034973516118711905
282,IrC,1.6,1.5987235959973207,0.004136353993592084
283,IrC,1.6,1.5994007750737973,0.004128356967487608
284,IrF,2.82,2.83241813993469,0.01073713529865425
285,IrF,2.82,2.826325509105496,0.011414217129850327
286,IrN,1.66,1.6569891020834238,0.0053630114879567575
287,IrN,1.66,1.6639984144567337,0.005563558068711588
288,KBa,1.58,1.5789536423283932,0.003212277073836357
289,KBa,1.58,1.5786566551348695,0.0031488023066092697
290,KBe,1.99,1.9897498193489422,0.002330993680718594
291,KBe,1.99,1.9877634438900567,0.0022140676922079907
292,KBr,10.269,10.269809384204288,0.010023923894258322
293,KBr,10.269,10.269087937074609,0.011269492363344926
294,KCa,1.9,1.9008223451145934,0.0026403648984547954
295,KCa,1.9,1.898073225345358,0.002528035382646631
296,KCl,10.2688,10.262420236763807,0.0228405737884197
297,KCl,10.2688,10.269972253112325,0.020555159268893935
